transaction_id,date,account,category,description,amount
T-3001,2026-06-01,Checking,Housing,Monthly rent payment,-1450.00
T-3002,2026-06-02,Credit Card,Groceries,Corner Market,-62.18
T-3003,2026-06-02,Checking,Income,Paycheck deposit,2100.00
T-3004,2026-06-03,Credit Card,Dining,Thai Basil Restaurant,-34.50
T-3005,2026-06-04,Credit Card,Transportation,Metro card refill,-40.00
T-3006,2026-06-05,Checking,Utilities,Electric bill,-88.42
T-3007,2026-06-06,Credit Card,Subscriptions,Streaming service,-15.99
T-3008,2026-06-07,Credit Card,Groceries,Fresh Foods Co-op,-71.35
T-3009,2026-06-08,Checking,Utilities,Internet bill,-59.99
T-3010,2026-06-09,Credit Card,Dining,Coffee shop,-6.75
T-3011,2026-06-10,Credit Card,Shopping,Clothing store,-112.40
T-3012,2026-06-11,Checking,Transportation,Rideshare,-18.20
T-3013,2026-06-12,Credit Card,Groceries,Corner Market,-58.90
T-3014,2026-06-13,Credit Card,Entertainment,Movie tickets,-28.00
T-3015,2026-06-14,Checking,Health,Pharmacy,-22.15
T-3016,2026-06-15,Credit Card,Dining,Pizza delivery,-24.60
T-3017,2026-06-16,Checking,Income,Paycheck deposit,2100.00
T-3018,2026-06-17,Credit Card,Subscriptions,Cloud storage,-9.99
T-3019,2026-06-18,Credit Card,Groceries,Fresh Foods Co-op,-64.20
T-3020,2026-06-19,Checking,Transportation,Metro card refill,-40.00
T-3021,2026-06-20,Credit Card,Shopping,Electronics accessory,-45.00
T-3022,2026-06-21,Checking,Savings,Transfer to savings,-300.00
T-3023,2026-06-22,Credit Card,Dining,Sushi restaurant,-52.30
T-3024,2026-06-23,Credit Card,Entertainment,Concert ticket,-85.00
T-3025,2026-06-24,Checking,Health,Gym membership,-40.00
T-3026,2026-06-25,Credit Card,Groceries,Corner Market,-49.75
T-3027,2026-06-26,Checking,Utilities,Water bill,-31.20
T-3028,2026-06-27,Credit Card,Dining,Coffee shop,-6.75
T-3029,2026-06-28,Credit Card,Shopping,Home goods,-38.60
T-3030,2026-06-30,Checking,Income,Paycheck deposit,2100.00
